round,metric_key,metric_label,category,statistic,applicant_value,accepted_value,unit,applicant_n,accepted_n,current_field,comparability,definition,source_url
1次,company_sales_cagr,全社年平均売上高成長率,経営力,median,7,10,%/年,712,109,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,company_sales_increase,全社売上高増加額,経営力,median,19.5,55.0,億円,712,109,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,56,65,%,712,109,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,8,13,%/年,712,109,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,14.1,41.1,億円,712,109,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,12,15,%/年,712,109,labor_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,5.1,14.2,億円,712,109,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,3.5,4.3,%/年,712,109,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,0.9,2.3,億円,712,109,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,3.4,4.0,%/年,712,109,officer_pay_annual_rate_pct,comparable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,0.03,0.05,億円,712,109,,unavailable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,50,36,%,712,109,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,61,126,%,712,109,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
1次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,22,23,点,712,109,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,company_sales_cagr,全社年平均売上高成長率,経営力,median,9,12,%/年,562,85,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,company_sales_increase,全社売上高増加額,経営力,median,23.1,46.7,億円,562,85,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,69,78,%,562,85,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,14,19,%/年,562,85,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,18.5,41.2,億円,562,85,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,17,22,%/年,562,85,labor_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,9.1,17.6,億円,562,85,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,5.0,5.4,%/年,562,85,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,1.5,2.9,億円,562,85,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,4.4,5.0,%/年,562,85,officer_pay_annual_rate_pct,comparable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,0.05,0.05,億円,562,85,,unavailable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,48,46,%,562,85,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,107,149,%,562,85,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
2次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,22,22,点,562,85,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
3次,company_sales_cagr,全社年平均売上高成長率,経営力,median,13,14,%/年,229,116,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf
